# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | densities include spin factor SPIN_DEG=2
# dmu_eV  kx_invA  ky_invA  f_v  f_c  absDelta_eV  e_minus_eV  epsr_v_eV  epsr_c_eV
1.971600e+00 2.136655e-01 1.986655e-01 1.000000e+00 5.102156e-22 4.852988e-11 -6.428479e-01 -5.395070e-01 3.580578e+00
1.971600e+00 2.136655e-01 2.136655e-01 1.000000e+00 5.999607e-22 5.170660e-11 -6.386205e-01 -5.352796e-01 3.547303e+00
1.971600e+00 2.136655e-01 2.286655e-01 1.000000e+00 7.140201e-22 5.528216e-11 -6.336568e-01 -5.303159e-01 3.510138e+00
1.971600e+00 2.136655e-01 2.436655e-01 1.000000e+00 8.631626e-22 5.940031e-11 -6.278222e-01 -5.244813e-01 3.468938e+00
1.971600e+00 2.136655e-01 2.586655e-01 1.000000e+00 1.059434e-21 6.411143e-11 -6.209582e-01 -5.176173e-01 3.423676e+00
1.971600e+00 2.136655e-01 2.736655e-01 1.000000e+00 1.318776e-21 6.944917e-11 -6.128819e-01 -5.095410e-01 3.374472e+00
1.971600e+00 2.136655e-01 2.886655e-01 1.000000e+00 1.663073e-21 7.544736e-11 -6.033893e-01 -5.000484e-01 3.321623e+00
1.971600e+00 2.136655e-01 3.036655e-01 1.000000e+00 2.122427e-21 8.213919e-11 -5.922646e-01 -4.889237e-01 3.265605e+00
1.971600e+00 2.136655e-01 3.186655e-01 1.000000e+00 2.737731e-21 8.954767e-11 -5.792984e-01 -4.759575e-01 3.207071e+00
1.971600e+00 2.136655e-01 3.336655e-01 1.000000e+00 3.563326e-21 9.767108e-11 -5.643189e-01 -4.609780e-01 3.146829e+00
1.971600e+00 2.136655e-01 3.486655e-01 1.000000e+00 4.669018e-21 1.064666e-10 -5.472371e-01 -4.438962e-01 3.085822e+00
1.971600e+00 2.136655e-01 3.636655e-01 1.000000e+00 6.140067e-21 1.158354e-10 -5.281044e-01 -4.247635e-01 3.025110e+00
1.971600e+00 2.136655e-01 3.786655e-01 1.000000e+00 8.072555e-21 1.256134e-10 -5.071736e-01 -4.038327e-01 2.965843e+00
1.971600e+00 2.136655e-01 3.936655e-01 1.000000e+00 1.056002e-20 1.355690e-10 -4.849483e-01 -3.816074e-01 2.909245e+00
1.971600e+00 2.136655e-01 4.086655e-01 1.000000e+00 1.366577e-20 1.454069e-10 -4.622011e-01 -3.588602e-01 2.856589e+00
1.971600e+00 2.136655e-01 4.236655e-01 1.000000e+00 1.737600e-20 1.547768e-10 -4.399477e-01 -3.366068e-01 2.809163e+00
1.971600e+00 2.136655e-01 4.386655e-01 1.000000e+00 2.153623e-20 1.632851e-10 -4.193720e-01 -3.160311e-01 2.768227e+00
1.971600e+00 2.136655e-01 4.536655e-01 1.000000e+00 2.579229e-20 1.705134e-10 -4.017127e-01 -2.983718e-01 2.734957e+00
1.971600e+00 2.136655e-01 4.686655e-01 1.000000e+00 2.958296e-20 1.760499e-10 -3.881286e-01 -2.847877e-01 2.710376e+00
1.971600e+00 2.136655e-01 4.836655e-01 1.000000e+00 3.223951e-20 1.795375e-10 -3.795646e-01 -2.762237e-01 2.695286e+00
1.971600e+00 2.136655e-01 4.986655e-01 1.000000e+00 3.319909e-20 1.807294e-10 -3.766384e-01 -2.732975e-01 2.690198e+00
1.971600e+00 2.136655e-01 5.136655e-01 1.000000e+00 3.223951e-20 1.795375e-10 -3.795646e-01 -2.762237e-01 2.695286e+00
1.971600e+00 2.136655e-01 5.286655e-01 1.000000e+00 2.958296e-20 1.760499e-10 -3.881286e-01 -2.847877e-01 2.710376e+00
1.971600e+00 2.136655e-01 5.436655e-01 1.000000e+00 2.579229e-20 1.705134e-10 -4.017127e-01 -2.983718e-01 2.734957e+00
1.971600e+00 2.136655e-01 5.586655e-01 1.000000e+00 2.153623e-20 1.632851e-10 -4.193720e-01 -3.160311e-01 2.768227e+00
1.971600e+00 2.136655e-01 5.736655e-01 1.000000e+00 1.737600e-20 1.547768e-10 -4.399477e-01 -3.366068e-01 2.809163e+00
1.971600e+00 2.136655e-01 5.886655e-01 1.000000e+00 1.366577e-20 1.454069e-10 -4.622011e-01 -3.588602e-01 2.856589e+00
1.971600e+00 2.136655e-01 6.036655e-01 1.000000e+00 1.056002e-20 1.355690e-10 -4.849483e-01 -3.816074e-01 2.909245e+00
1.971600e+00 2.136655e-01 6.186655e-01 1.000000e+00 8.072555e-21 1.256134e-10 -5.071736e-01 -4.038327e-01 2.965843e+00
1.971600e+00 2.136655e-01 6.336655e-01 1.000000e+00 6.140067e-21 1.158354e-10 -5.281044e-01 -4.247635e-01 3.025110e+00
1.971600e+00 2.136655e-01 6.486655e-01 1.000000e+00 4.669018e-21 1.064666e-10 -5.472371e-01 -4.438962e-01 3.085822e+00
1.971600e+00 2.136655e-01 6.636655e-01 1.000000e+00 3.563326e-21 9.767108e-11 -5.643189e-01 -4.609780e-01 3.146829e+00
1.971600e+00 2.136655e-01 6.786655e-01 1.000000e+00 2.737731e-21 8.954767e-11 -5.792984e-01 -4.759575e-01 3.207071e+00
1.971600e+00 2.136655e-01 6.936655e-01 1.000000e+00 2.122427e-21 8.213919e-11 -5.922646e-01 -4.889237e-01 3.265605e+00
1.971600e+00 2.136655e-01 7.086655e-01 1.000000e+00 1.663073e-21 7.544736e-11 -6.033893e-01 -5.000484e-01 3.321623e+00
1.971600e+00 2.136655e-01 7.236655e-01 1.000000e+00 1.318776e-21 6.944917e-11 -6.128819e-01 -5.095410e-01 3.374472e+00
1.971600e+00 2.136655e-01 7.386655e-01 1.000000e+00 1.059434e-21 6.411143e-11 -6.209582e-01 -5.176173e-01 3.423676e+00
1.971600e+00 2.136655e-01 7.536655e-01 1.000000e+00 8.631626e-22 5.940031e-11 -6.278222e-01 -5.244813e-01 3.468938e+00
1.971600e+00 2.136655e-01 7.686655e-01 1.000000e+00 7.140201e-22 5.528216e-11 -6.336568e-01 -5.303159e-01 3.510138e+00
1.971600e+00 2.136655e-01 7.836655e-01 1.000000e+00 5.999607e-22 5.170660e-11 -6.386205e-01 -5.352796e-01 3.547303e+00
1.971600e+00 2.136655e-01 7.986655e-01 1.000000e+00 5.102156e-22 4.852988e-11 -6.428479e-01 -5.395070e-01 3.580578e+00
1.971600e+00 2.286655e-01 1.986655e-01 1.000000e+00 6.063926e-22 5.182781e-11 -6.377806e-01 -5.344397e-01 3.541840e+00
1.971600e+00 2.286655e-01 2.136655e-01 1.000000e+00 7.140201e-22 5.528216e-11 -6.336568e-01 -5.303159e-01 3.510138e+00
1.971600e+00 2.286655e-01 2.286655e-01 1.000000e+00 8.505671e-22 5.916130e-11 -6.288067e-01 -5.254658e-01 3.474673e+00
1.971600e+00 2.286655e-01 2.436655e-01 1.000000e+00 1.028819e-21 6.361843e-11 -6.230957e-01 -5.197548e-01 3.435259e+00
1.971600e+00 2.286655e-01 2.586655e-01 1.000000e+00 1.263170e-21 6.870929e-11 -6.163642e-01 -5.130233e-01 3.391811e+00
1.971600e+00 2.286655e-01 2.736655e-01 1.000000e+00 1.572625e-21 7.446969e-11 -6.084269e-01 -5.050860e-01 3.344390e+00
1.971600e+00 2.286655e-01 2.886655e-01 1.000000e+00 1.983263e-21 8.093424e-11 -5.990756e-01 -4.957347e-01 3.293230e+00
1.971600e+00 2.286655e-01 3.036655e-01 1.000000e+00 2.531002e-21 8.813668e-11 -5.880878e-01 -4.847469e-01 3.238757e+00
1.971600e+00 2.286655e-01 3.186655e-01 1.000000e+00 3.264813e-21 9.610075e-11 -5.752447e-01 -4.719038e-01 3.181586e+00
1.971600e+00 2.286655e-01 3.336655e-01 1.000000e+00 4.250090e-21 1.048251e-10 -5.603622e-01 -4.570213e-01 3.122506e+00
1.971600e+00 2.286655e-01 3.486655e-01 1.000000e+00 5.571430e-21 1.142659e-10 -5.433379e-01 -4.399970e-01 3.062456e+00
1.971600e+00 2.286655e-01 3.636655e-01 1.000000e+00 7.333122e-21 1.243204e-10 -5.242103e-01 -4.208694e-01 3.002501e+00
1.971600e+00 2.286655e-01 3.786655e-01 1.000000e+00 9.654294e-21 1.348169e-10 -5.032234e-01 -3.998825e-01 2.943812e+00
1.971600e+00 2.286655e-01 3.936655e-01 1.000000e+00 1.265356e-20 1.455113e-10 -4.808790e-01 -3.775381e-01 2.887633e+00
1.971600e+00 2.286655e-01 4.086655e-01 1.000000e+00 1.641588e-20 1.560913e-10 -4.579574e-01 -3.546165e-01 2.835262e+00
1.971600e+00 2.286655e-01 4.236655e-01 1.000000e+00 2.093471e-20 1.661837e-10 -4.354909e-01 -3.321500e-01 2.788014e+00
1.971600e+00 2.286655e-01 4.386655e-01 1.000000e+00 2.603101e-20 1.753653e-10 -4.146872e-01 -3.113463e-01 2.747175e+00
1.971600e+00 2.286655e-01 4.536655e-01 1.000000e+00 3.127473e-20 1.831812e-10 -3.968122e-01 -2.934713e-01 2.713949e+00
1.971600e+00 2.286655e-01 4.686655e-01 1.000000e+00 3.596904e-20 1.891792e-10 -3.830512e-01 -2.797103e-01 2.689381e+00
1.971600e+00 2.286655e-01 4.836655e-01 1.000000e+00 3.927166e-20 1.929629e-10 -3.743713e-01 -2.710304e-01 2.674290e+00
1.971600e+00 2.286655e-01 4.986655e-01 1.000000e+00 4.046713e-20 1.942571e-10 -3.714048e-01 -2.680639e-01 2.669200e+00
1.971600e+00 2.286655e-01 5.136655e-01 1.000000e+00 3.927166e-20 1.929629e-10 -3.743713e-01 -2.710304e-01 2.674290e+00
